Title,Composer,Permlink,Instrumentation,Key,Piece Style,First Performance,Year/Date of Composition,Composer Time Period,Average Duration,Year,num_downloads
"10 Etuden, Op.5","Krause, Anton","https://imslp.org/wiki/10_Etuden,_Op.5_(Krause,_Anton)",piano,,romantic,,,romantic,,,50
10 Etudes,"Kling, Henri","https://imslp.org/wiki/10_Etudes_(Kling,_Henri)",horn,,romantic,,1906,romantic,,1906,365
"10 Etudes brillantes, Op.16","Alard, Jean Delphin","https://imslp.org/wiki/10_Etudes_brillantes,_Op.16_(Alard,_Jean_Delphin)",2 violins,,romantic,,,romantic,,,649
"10 Etudes dramatiques, Op.58","Concone, Giuseppe","https://imslp.org/wiki/10_Etudes_dramatiques,_Op.58_(Concone,_Giuseppe)",piano 4 hands,,romantic,,,romantic,,,26
"10 Etudes for Bassoon solo, Opp.141, 170","Plante, Cyril","https://imslp.org/wiki/10_Etudes_for_Bassoon_solo,_Opp.141,_170_(Plante,_Cyril)",bassoon,,romantic,,2012 (November),modern,,2012,20717
10 Etudes,"Regondi, Giulio","https://imslp.org/wiki/10_Etudes_(Regondi,_Giulio)",guitar,,romantic,,1860 ca.,romantic,,1860,124
"10 Etudes de vocalisation transcendante, Op.82","Lacombe, Louis","https://imslp.org/wiki/10_Etudes_de_vocalisation_transcendante,_Op.82_(Lacombe,_Louis)","piano, voice",,romantic,,,romantic,,,26
10 Etudes for Piano,"Rogers, James Hotchkiss","https://imslp.org/wiki/10_Etudes_for_Piano_(Rogers,_James_Hotchkiss)",piano,,romantic,,,early 20th century,,,48
10 Eglogues,"Tomášek, Václav Jan","https://imslp.org/wiki/10_Eglogues_(Tomášek,_Václav_Jan)",piano,,classical,,,romantic,,,307
10 Easy Pieces,"Farn, Kat","https://imslp.org/wiki/10_Easy_Pieces_(Farn,_Kat)",piano,,modern,,2025,modern,5,2025,9
10 Duets for Horn,"Olson, Carol","https://imslp.org/wiki/10_Duets_for_Horn_(Olson,_Carol)",2 horns,,modern,,2014,modern,5,2014,667
10 Esquisses pour piano à quatre mains,"Dubois, Théodore","https://imslp.org/wiki/10_Esquisses_pour_piano_à_quatre_mains_(Dubois,_Théodore)",piano 4 hands,,romantic,,,romantic,,,28
