Title,Composer,Permlink,Instrumentation,Key,Piece Style,First Performance,Year/Date of Composition,Composer Time Period,Average Duration
'A chiena e 'a vacanta,"Valente, Vincenzo","https://imslp.org/wiki/'A_chiena_e_'a_vacanta_(Valente,_Vincenzo)","voice, piano",E-flat major,Romantic,,,Romantic,3 minutes
'A ciucculata,"Di Chiara, Vincenzo","https://imslp.org/wiki/'A_ciucculata_(Di_Chiara,_Vincenzo)","voice, piano",G minor,Romantic,,,Early 20th century,3 minutes
'A cura 'e mammà,"De Gregorio, Giuseppe","https://imslp.org/wiki/'A_cura_'e_mammà_(De_Gregorio,_Giuseppe)","voice, piano",G major,Romantic,,,Romantic,5 minutes
'A farenara,"Gramegna, Pasquale","https://imslp.org/wiki/'A_farenara_(Gramegna,_Pasquale)","voice, piano",A minor,Romantic,,,Romantic,3 minutes
'A femmena,"Chiarolanza, Giuseppe","https://imslp.org/wiki/'A_femmena_(Chiarolanza,_Giuseppe)","voice, piano",B-flat major,Romantic,,,Romantic,3 minutes
'A femmena,"Taranto, Guido","https://imslp.org/wiki/'A_femmena_(Taranto,_Guido)","voice, piano",C minor,Romantic,,,Romantic,3 minutes
'A festa d''e giglie,"Gragnano, G.","https://imslp.org/wiki/'A_festa_d''e_giglie_(Gragnano,_G.)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'A funicular''e Muntesanto,"Caccavale, Giuseppe","https://imslp.org/wiki/'A_funicular''e_Muntesanto_(Caccavale,_Giuseppe)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'A funiculare 'e Montesanto,"D'Ambrosio, Francesco","https://imslp.org/wiki/'A_funiculare_'e_Montesanto_(D'Ambrosio,_Francesco)","voice, piano",C major,Romantic,,1891 ca.,Romantic,4 minutes
'A gajola,"Viscardi, Pasquale","https://imslp.org/wiki/'A_gajola_(Viscardi,_Pasquale)","voice, piano",C major,Romantic,,,Romantic,3 minutes
'A gallaria nova,"Mantegna, L.","https://imslp.org/wiki/'A_gallaria_nova_(Mantegna,_L.)","voice, piano",E-flat major,Romantic,,1890 ca.,Romantic,3 minutes
'A gelosia,"Nutile, Emmanuele","https://imslp.org/wiki/'A_gelosia_(Nutile,_Emmanuele)","voice, piano",F major,Romantic,,,Romantic,5 minutes
'A giurnalista,"Raimondi, Alfonso","https://imslp.org/wiki/'A_giurnalista_(Raimondi,_Alfonso)","voice, piano",E-flat major,Romantic,,,Romantic,3 minutes
'A grott'azzurra,"Di Capua, Eduardo","https://imslp.org/wiki/'A_grott'azzurra_(Di_Capua,_Eduardo)","voice, piano",E major,Romantic,,,Romantic,4 minutes
'A lavannara,"Siragusa, Antonio","https://imslp.org/wiki/'A_lavannara_(Siragusa,_Antonio)","voice, piano",E major,Romantic,,,Romantic,3 minutes
'A leggia d''o revolvere,"Guida, Prospero","https://imslp.org/wiki/'A_leggia_d''o_revolvere_(Guida,_Prospero)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'A limonata,"Anatra, Emilio","https://imslp.org/wiki/'A_limonata_(Anatra,_Emilio)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'A luntananza,"Di Capua, Eduardo","https://imslp.org/wiki/'A_luntananza_(Di_Capua,_Eduardo)","voice, piano",G major,Romantic,,,Romantic,4 minutes
'A maestrina,Albertin,https://imslp.org/wiki/'A_maestrina_(Albertin),"voice, piano",F major,Romantic,,,Romantic,3 minutes
'A maruzza,"Marino, Carmine","https://imslp.org/wiki/'A_maruzza_(Marino,_Carmine)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'A mmaretata,"Erra, Arturo","https://imslp.org/wiki/'A_mmaretata_(Erra,_Arturo)","voice, piano",G minor,Romantic,,,Romantic,3 minutes
'A mpignatora,"Cavuoto, Antonio","https://imslp.org/wiki/'A_mpignatora_(Cavuoto,_Antonio)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'A mugliera ca primm''e spusà!!,"Di Capua, Eduardo","https://imslp.org/wiki/'A_mugliera_ca_primm''e_spusà!!_(Di_Capua,_Eduardo)","voice, piano",G minor,Romantic,,,Romantic,3 minutes
'A nepota 'e don Camillo,"Taranto, Guido","https://imslp.org/wiki/'A_nepota_'e_don_Camillo_(Taranto,_Guido)","voice, piano",E minor,Early 20th century,,,Romantic,3 minutes
'A neve 'a ne'!,"Miccio, Emanuele","https://imslp.org/wiki/'A_neve_'a_ne'!_(Miccio,_Emanuele)","voice, piano",D minor,Romantic,,,Romantic,4 minutes
'A nzalatara,"Fulvio, Mario","https://imslp.org/wiki/'A_nzalatara_(Fulvio,_Mario)","voice, piano",G major,Romantic,,,Romantic,2 minutes
'A panettera,"Fragna, Luigi","https://imslp.org/wiki/'A_panettera_(Fragna,_Luigi)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'A partenza d''e cungedate,"Gambardella, Salvatore","https://imslp.org/wiki/'A_partenza_d''e_cungedate_(Gambardella,_Salvatore)","voice, piano",D minor,Romantic,,,Early 20th century,3 minutes
'A partenza d''e marenare,"Fanti, Carlo","https://imslp.org/wiki/'A_partenza_d''e_marenare_(Fanti,_Carlo)","voice, trumpet, piano (see below, Comments)",A major,Romantic,,,Romantic,3 minutes
'A passione,"De Angelis, G.","https://imslp.org/wiki/'A_passione_(De_Angelis,_G.)","voice, piano",G minor,Romantic,,,Romantic,2 minutes
'A passione,"Giannelli, Giuseppe","https://imslp.org/wiki/'A_passione_(Giannelli,_Giuseppe)","voice, piano",C minor,Romantic,,,Romantic,3 minutes
'A pazzagliona,"Pennino, Francesco","https://imslp.org/wiki/'A_pazzagliona_(Pennino,_Francesco)","voice, piano",G major,Romantic,,,Early 20th century,3 minutes
'A pazziella,"Chiarolanza, Giuseppe","https://imslp.org/wiki/'A_pazziella_(Chiarolanza,_Giuseppe)","voice, piano",C major,Romantic,,,Romantic,2 minutes
'A penitente e 'o Confessore,"Fonzo, Pasquale Ernesto","https://imslp.org/wiki/'A_penitente_e_'o_Confessore_(Fonzo,_Pasquale_Ernesto)","voice, piano",E-flat major,Romantic,,,Early 20th century,4 minutes
'A pippa,"Tinto, Giuseppe","https://imslp.org/wiki/'A_pippa_(Tinto,_Giuseppe)","voice, piano",F major,Romantic,,,Romantic,4 minutes
'A pizzaria 'e don Saveratore,"Valente, Vincenzo","https://imslp.org/wiki/'A_pizzaria_'e_don_Saveratore_(Valente,_Vincenzo)","voice, piano",D minor,Romantic,,,Romantic,3 minutes
'A ponta 'e Pusilleco,"De Gregorio, Giuseppe","https://imslp.org/wiki/'A_ponta_'e_Pusilleco_(De_Gregorio,_Giuseppe)","voice, piano",G major,Romantic,,,Romantic,3 minutes
'A primma donna,"Valente, Vincenzo","https://imslp.org/wiki/'A_primma_donna_(Valente,_Vincenzo)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'A primma vota!,"De Curtis, Ernesto","https://imslp.org/wiki/'A_primma_vota!_(De_Curtis,_Ernesto)","voice, piano",G minor,Romantic,,,Early 20th century,4 minutes
'A prucitana,"Flocco, Alfredo","https://imslp.org/wiki/'A_prucitana_(Flocco,_Alfredo)","voice, piano",F minor,Romantic,,,Romantic,3 minutes
'A retirata,"Costa, Pasquale Mario","https://imslp.org/wiki/'A_retirata_(Costa,_Pasquale_Mario)","voice, piano",C major,Romantic,,,Romantic,3 minutes
'A retirata d''a fanteria,"Gambardella, Salvatore","https://imslp.org/wiki/'A_retirata_d''a_fanteria_(Gambardella,_Salvatore)","voice, piano",G major,Romantic,,,Early 20th century,3 minutes
'A revista,"Corvino, Gennaro","https://imslp.org/wiki/'A_revista_(Corvino,_Gennaro)","voice, piano",D major,Romantic,,,Romantic,4 minutes
'A revista navale,"Galiani, Celestino","https://imslp.org/wiki/'A_revista_navale_(Galiani,_Celestino)","voice, piano",C major,Romantic,,,Romantic,3 minutes
'A riggina d''o mare,"Bellini, Ettore","https://imslp.org/wiki/'A_riggina_d''o_mare_(Bellini,_Ettore)","voice, mandolin",F minor,Romantic,,,Early 20th century,4 minutes
'A risa,"Cantalamessa, Berardo","https://imslp.org/wiki/'A_risa_(Cantalamessa,_Berardo)","voice, piano",E major,Romantic,,1895 ca.,Romantic,2 minutes
'A robba fina!,"Di Capua, Eduardo","https://imslp.org/wiki/'A_robba_fina!_(Di_Capua,_Eduardo)","voice, mandolin",G minor,Early 20th century,,,Romantic,3 minutes
'A rosa,"Natale, Antonio","https://imslp.org/wiki/'A_rosa_(Natale,_Antonio)","voice, piano",G major,Romantic,,,Romantic,3 minutes
'A schiavuttella,"De Caro, Donato","https://imslp.org/wiki/'A_schiavuttella_(De_Caro,_Donato)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'A sciurara,"Albin, Federico","https://imslp.org/wiki/'A_sciurara_(Albin,_Federico)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'A scossa elettrica!,"De Angelis, Michele","https://imslp.org/wiki/'A_scossa_elettrica!_(De_Angelis,_Michele)","voice, piano",B-flat major,Romantic,,,Romantic,3 minutes
'A sentenza mia,"Guida, Prospero","https://imslp.org/wiki/'A_sentenza_mia_(Guida,_Prospero)","voice, piano",E-flat major,Romantic,,,Romantic,3 minutes
'A serata d''a primma donna,"Vottis, Gaetano","https://imslp.org/wiki/'A_serata_d''a_primma_donna_(Vottis,_Gaetano)","voice, piano",B-flat major,Romantic,,,Romantic,4 minutes
'A serenata d' 'e rrose,"Di Capua, Eduardo","https://imslp.org/wiki/'A_serenata_d'_'e_rrose_(Di_Capua,_Eduardo)","voice, piano",A minor,Romantic,,,Romantic,3 minutes
'A serenata d''e nnammurate,"Di Capua, Eduardo","https://imslp.org/wiki/'A_serenata_d''e_nnammurate_(Di_Capua,_Eduardo)","voice, piano",E-flat major,Romantic,,,Romantic,3 minutes
'A serenata d''o 'mbriaco,"Fragna, Luigi","https://imslp.org/wiki/'A_serenata_d''o_'mbriaco_(Fragna,_Luigi)","voice, piano",D minor,Romantic,,,Romantic,3 minutes
'A sicilianella,"Di Fraja, Vincenzo","https://imslp.org/wiki/'A_sicilianella_(Di_Fraja,_Vincenzo)","voice, piano",A minor,Early 20th century,,,Early 20th century,5 minutes
'A sicilianella,"Fonzo, Pasquale Ernesto","https://imslp.org/wiki/'A_sicilianella_(Fonzo,_Pasquale_Ernesto)","voice, piano",G major,Romantic,,,Early 20th century,3 minutes
'A spartenza,"De Gregorio, Giuseppe","https://imslp.org/wiki/'A_spartenza_(De_Gregorio,_Giuseppe)","voice, piano",D major,Early 20th century,,,Romantic,3 minutes
'A spartenza,"Niola, Olimpia","https://imslp.org/wiki/'A_spartenza_(Niola,_Olimpia)","voice, piano",G minor,Romantic,,,Romantic,3 minutes
'A spatella,"Finamore, Francesco","https://imslp.org/wiki/'A_spatella_(Finamore,_Francesco)","voice, piano",D major,Romantic,,1889,Romantic,3 minutes
'A spicajola,"Gaudiosi, Gennaro","https://imslp.org/wiki/'A_spicajola_(Gaudiosi,_Gennaro)","voice, piano",G major,Romantic,,,Romantic,3 minutes
'A spicajola da festa,"Capurro, Francesco","https://imslp.org/wiki/'A_spicajola_da_festa_(Capurro,_Francesco)","voice, castanets, piano",G major,Romantic,,,Romantic,3 minutes
'A sprinia,"De Angelis, Michele","https://imslp.org/wiki/'A_sprinia_(De_Angelis,_Michele)","voice, piano",G minor,Romantic,,,Romantic,3 minutes
'A testa 'aruta,"Valente, Vincenzo","https://imslp.org/wiki/'A_testa_'aruta_(Valente,_Vincenzo)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'A tossa,"Di Chiara, Vincenzo","https://imslp.org/wiki/'A_tossa_(Di_Chiara,_Vincenzo)","2 voices, piano",F major,Romantic,,,Early 20th century,3 minutes
'A valanza,"Ranieri, Enrico","https://imslp.org/wiki/'A_valanza_(Ranieri,_Enrico)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'A vedova!,"De Gregorio, Giuseppe","https://imslp.org/wiki/'A_vedova!_(De_Gregorio,_Giuseppe)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'A verdummara,"Siragusa, Antonio","https://imslp.org/wiki/'A_verdummara_(Siragusa,_Antonio)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'A vesta nera,"Imperiali, Enrico","https://imslp.org/wiki/'A_vesta_nera_(Imperiali,_Enrico)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'A vigilia 'e Natale,"De Curtis, Giambattista","https://imslp.org/wiki/'A_vigilia_'e_Natale_(De_Curtis,_Giambattista)","voice, piano",G major,Romantic,,,Romantic,3 minutes
'A vigna 'e Catarina,"Valente, Nicola","https://imslp.org/wiki/'A_vigna_'e_Catarina_(Valente,_Nicola)","voice, piano",A major,Romantic,,,Early 20th century,3 minutes
'A vita è nu suonno!,"Gambardella, Salvatore","https://imslp.org/wiki/'A_vita_è_nu_suonno!_(Gambardella,_Salvatore)","voice, mandolin",D major,Romantic,,,Early 20th century,3 minutes
'A vivandiera,"Siragusa, Antonio","https://imslp.org/wiki/'A_vivandiera_(Siragusa,_Antonio)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'A vongola,"Di Chiara, Vincenzo","https://imslp.org/wiki/'A_vongola_(Di_Chiara,_Vincenzo)","voice, mandolin",A minor,Romantic,,,Early 20th century,4 minutes
'A zetella,"Erra, Arturo","https://imslp.org/wiki/'A_zetella_(Erra,_Arturo)","voice, piano",G minor,Romantic,,,Romantic,3 minutes
'A' for Solo FM Synthesizer,"Shannon, William R.","https://imslp.org/wiki/'A'_for_Solo_FM_Synthesizer_(Shannon,_William_R.)",Solo Keyboard Synthesizer,,Modern,,1986,Modern,
"'Adeste fideles' in an Organ Prelude, S.131","Ives, Charles","https://imslp.org/wiki/'Adeste_fideles'_in_an_Organ_Prelude,_S.131_(Ives,_Charles)",organ,,Early 20th century,,1897,Early 20th century,3 minutes
'America' in Four Modes,"St. Pierre, Anthony","https://imslp.org/wiki/'America'_in_Four_Modes_(St._Pierre,_Anthony)","flute, oboe, clarinet, bassoon",,Modern,,2024,Modern,2 minutes
"'Anna Bolena' fantaisie, Op.204","Leduc, Alphonse","https://imslp.org/wiki/'Anna_Bolena'_fantaisie,_Op.204_(Leduc,_Alphonse)",Piano,,Romantic,,,Romantic,
'Ard Up An' Appy,"Townsend, Herbert","https://imslp.org/wiki/'Ard_Up_An'_Appy_(Townsend,_Herbert)","voice, piano",D major,Early 20th century,,1930,Early 20th century,
'Cause I Only Had a Quarter to Ma Name,"Osborne, Nat","https://imslp.org/wiki/'Cause_I_Only_Had_a_Quarter_to_Ma_Name_(Osborne,_Nat)","voice, piano",G major,Early 20th century,,,Early 20th century,
'Cause I Think and Awful Lot of You,"Wildman, F. Collis","https://imslp.org/wiki/'Cause_I_Think_and_Awful_Lot_of_You_(Wildman,_F._Collis)","voice, piano",G major,Early 20th century,,,Early 20th century,
'Comin' Thro' the Rye' with Variations,"Thornton, E. S.","https://imslp.org/wiki/'Comin'_Thro'_the_Rye'_with_Variations_(Thornton,_E._S.)",Solo : clarinet (B ♭ ) Orchestra or Piano,E-flat major,Romantic,,,Romantic,
'Cross the Great Divide,"Meyer, George W.","https://imslp.org/wiki/'Cross_the_Great_Divide_(Meyer,_George_W.)","voice, piano",B-flat major,Early 20th century,,,Early 20th century,
'Cross the Mason-Dixon Line,"Marshall, Henry I.","https://imslp.org/wiki/'Cross_the_Mason-Dixon_Line_(Marshall,_Henry_I.)","voice, piano",B-flat major,Early 20th century,,,Early 20th century,
"'Di tanti palpiti'-Cavatina Variations (Tancred), Op.1","Giuliani, Michele","https://imslp.org/wiki/'Di_tanti_palpiti'-Cavatina_Variations_(Tancred),_Op.1_(Giuliani,_Michele)",2 guitars,,Romantic,,,Romantic,
"'Do love me' Waltz, Op.332","Kontski, Anton de","https://imslp.org/wiki/'Do_love_me'_Waltz,_Op.332_(Kontski,_Anton_de)",piano,A-flat major,Romantic,,,Romantic,
"'Don Juan' de Mozart, Op.24","Herman, Jules","https://imslp.org/wiki/'Don_Juan'_de_Mozart,_Op.24_(Herman,_Jules)","flute, piano",,Romantic,,,Romantic,
'E Bersagliere,"Di Capua, Eduardo","https://imslp.org/wiki/'E_Bersagliere_(Di_Capua,_Eduardo)","voice, trumpet? (The music is a single line, treble clef, but with ""canto"" marked where the words start.  No instrument is indicated for the non-""canto"" parts, but trumpet seems likely due to the nature of the writing)",G major,Romantic,,,Romantic,3 minutes
'E bbì lloche!,"Caccavale, Giuseppe","https://imslp.org/wiki/'E_bbì_lloche!_(Caccavale,_Giuseppe)","voice, piano",F major,Romantic,,1893,Romantic,3 minutes
'E campanielle d''e tram,"Caccavale, Giuseppe","https://imslp.org/wiki/'E_campanielle_d''e_tram_(Caccavale,_Giuseppe)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'E capille 'e Carmenella,"Gambardella, Salvatore","https://imslp.org/wiki/'E_capille_'e_Carmenella_(Gambardella,_Salvatore)","voice, piano",D major,Romantic,,,Early 20th century,3 minutes
'E cataplaseme,"Di Chiara, Vincenzo","https://imslp.org/wiki/'E_cataplaseme_(Di_Chiara,_Vincenzo)","voice, piano",A minor,Romantic,,,Early 20th century,3 minutes
'E cazette nere,"Salzano, Giuseppe","https://imslp.org/wiki/'E_cazette_nere_(Salzano,_Giuseppe)","voice, piano",E-flat major,Romantic,,,Early 20th century,3 minutes
'E cerase,"Montagna, Alberto","https://imslp.org/wiki/'E_cerase_(Montagna,_Alberto)","voice, piano",B-flat major,Romantic,,,Romantic,3 minutes
'E curazziere,"Guida, Prospero","https://imslp.org/wiki/'E_curazziere_(Guida,_Prospero)","voice, piano",E-flat major,Romantic,,,Romantic,3 minutes
'E femmene c''o bastone,"Granozio, Carlo","https://imslp.org/wiki/'E_femmene_c''o_bastone_(Granozio,_Carlo)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'E ffune fracete!..,"Cavuoto, Antonio","https://imslp.org/wiki/'E_ffune_fracete!.._(Cavuoto,_Antonio)","voice, piano",F minor,Romantic,,,Romantic,3 minutes
'E giesummine 'e Spagna,"Valente, Vincenzo","https://imslp.org/wiki/'E_giesummine_'e_Spagna_(Valente,_Vincenzo)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'E maiateche,"Gambardella, Salvatore","https://imslp.org/wiki/'E_maiateche_(Gambardella,_Salvatore)","voice, piano",F major,Romantic,,,Early 20th century,3 minutes
'E marenarielle,"Montagna, Alberto","https://imslp.org/wiki/'E_marenarielle_(Montagna,_Alberto)","voice, mandolin",G major,Romantic,,,Romantic,3 minutes
'E mmanovre,"Barthélemy, Richard","https://imslp.org/wiki/'E_mmanovre_(Barthélemy,_Richard)","voice, piano",B major,Romantic,,,Early 20th century,3 minutes
'E nnapulitane!,"Giordano, Carlo","https://imslp.org/wiki/'E_nnapulitane!_(Giordano,_Carlo)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'E sartolelle,"Canetti, Antonio","https://imslp.org/wiki/'E_sartolelle_(Canetti,_Antonio)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'E spingole frangese!,"De Leva, Enrico","https://imslp.org/wiki/'E_spingole_frangese!_(De_Leva,_Enrico)","voice, choir, piano",A major,Romantic,,,Early 20th century,4 minutes
'E tiempe!,"Di Capua, Eduardo","https://imslp.org/wiki/'E_tiempe!_(Di_Capua,_Eduardo)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'E torpediniere,Albertin,https://imslp.org/wiki/'E_torpediniere_(Albertin),"voice, piano",B-flat major,Romantic,,,Romantic,3 minutes
'E tre chiuove,"Di Chiara, Vincenzo","https://imslp.org/wiki/'E_tre_chiuove_(Di_Chiara,_Vincenzo)","voice, piano",G minor,Romantic,,,Early 20th century,4 minutes
'E tre code,"Valente, Vincenzo","https://imslp.org/wiki/'E_tre_code_(Valente,_Vincenzo)","voice, piano",F major,Romantic,,,Romantic,3 minutes
'E trezze 'e Carulina,"Gambardella, Salvatore","https://imslp.org/wiki/'E_trezze_'e_Carulina_(Gambardella,_Salvatore)","voice, mandolin",F major,Romantic,,,Early 20th century,3 minutes
'E vviolette!,"De Gregorio, Giuseppe","https://imslp.org/wiki/'E_vviolette!_(De_Gregorio,_Giuseppe)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'E zampugnare,"Gambardella, Salvatore","https://imslp.org/wiki/'E_zampugnare_(Gambardella,_Salvatore)","voice, piano",F major,Early 20th century,,,Early 20th century,3 minutes
'E zzite cuntignose,"Di Chiara, Vincenzo","https://imslp.org/wiki/'E_zzite_cuntignose_(Di_Chiara,_Vincenzo)","voice, piano",G minor,Romantic,,,Early 20th century,4 minutes
'Elfentanz' Arranged as a Left Hand Study,"Meyer, George Arthur","https://imslp.org/wiki/'Elfentanz'_Arranged_as_a_Left_Hand_Study_(Meyer,_George_Arthur)",piano left-hand,E minor,Romantic,,2014,Modern,
'Fuck You' Motif,"Wallace, Dorian","https://imslp.org/wiki/'Fuck_You'_Motif_(Wallace,_Dorian)",Unspecified,,Modern,,2014,Modern,
"'Gae' Minuet, WoO 3","Schreiber, Robin","https://imslp.org/wiki/'Gae'_Minuet,_WoO_3_(Schreiber,_Robin)",piano,C major,Modern,,2019,Modern,
'Here I raise mine Ebenezer',"Eisenbrey, Keith","https://imslp.org/wiki/'Here_I_raise_mine_Ebenezer'_(Eisenbrey,_Keith)",organ,,Modern,,1998,Modern,
"'L'elisir d'amore' fantaisie, Op.98","Clodomir, Pierre François","https://imslp.org/wiki/'L'elisir_d'amore'_fantaisie,_Op.98_(Clodomir,_Pierre_François)","cornet (A), piano",,Romantic,,,Romantic,
